names,scores,logfoldchanges,pvals,pvals_adj
IFITM1,19.227886,3.9343603,2.1626293130746916e-82,7.253026190189901e-78
PPDPF,18.47264,3.890199,3.428981873062557e-76,5.750059702938602e-72
JUND,17.906096,3.5333774,1.056958515338969e-71,8.912154341866853e-68
NDUFA1,17.90578,3.340614,1.062932117820604e-71,8.912154341866853e-68
COX7C,17.89003,3.5619962,1.4103265081462018e-71,9.459906086041462e-68
NME4,17.789309,3.3195734,8.552746533051528e-71,4.7807002204247025e-67
MINOS1,17.751781,3.4672236,1.6696957641247212e-70,7.999750933887843e-67
HMGN2,17.686832,3.5491076,5.297121397923921e-70,2.2206857180446556e-66
COX6B1,17.666813,3.2815506,7.554579512329672e-70,2.8151720853834725e-66
COX7A2,17.59703,3.4084394,2.595824297940098e-69,8.7058755304315e-66
TACSTD2,17.578833,3.544336,3.5787373927236716e-69,1.09112449706515e-65
SH3BGRL,17.554232,3.383518,5.520850716922572e-69,1.4771943460413409e-65
RPL36AL,17.552162,3.470642,5.725900917925168e-69,1.4771943460413409e-65
TCEAL4,17.52888,3.444752,8.625248331182722e-69,2.0662398466514724e-65
H1F0,17.518965,3.730948,1.0267755863507689e-68,2.2957333076688057e-65
SRP9,17.509552,3.2136602,1.2114541120315107e-68,2.53935925058205e-65
RPL17,17.474785,3.400458,2.2298309933332285e-68,4.399063050259401e-65
HSBP1,17.412094,3.452757,6.679552391828367e-68,1.244549045095221e-64
UQCR10,17.407639,3.2629962,7.220150044449005e-68,1.2744704852143724e-64
METRN,17.395338,3.2018235,8.949639002384417e-68,1.5007649643098428e-64
COMMD3,17.369673,3.2462447,1.4002384805049533e-67,2.2362475313892917e-64
MORF4L2,17.351034,3.2876794,1.9372537243405188e-67,2.9532552457696507e-64
RPL22,17.348461,3.4804964,2.025989539239951e-67,2.9542450942186728e-64
ENSA,17.28439,3.5125103,6.167124503144877e-67,8.618042566103037e-64
NDUFB1,17.279306,3.3198004,6.73535194745383e-67,9.035609344548261e-64
